id,y,x1,x2,x3,x4,x5,x6,x7,x8,x9
255,1,1,3,3,0,4,6,2,5,2
256,0,1,3,1,0,2,7,6,6,4
257,0,0,2,1,3,2,0,8,6,0
258,0,2,1,4,5,2,1,7,4,2
259,0,0,2,4,2,4,1,8,9,5
260,0,2,3,0,2,4,1,0,9,8
261,0,0,1,2,0,1,6,8,4,7
262,0,1,1,4,0,6,1,2,0,0
263,1,0,2,1,0,3,2,5,6,1
264,1,2,1,1,0,6,0,8,9,7
265,1,0,0,4,3,4,0,0,4,0
266,1,1,2,3,3,4,4,7,0,5
267,0,1,2,3,5,5,1,1,4,2
268,1,0,1,2,1,3,4,2,0,5
269,1,1,0,4,5,1,5,8,5,3
270,1,0,3,2,5,6,3,0,6,9
271,0,0,3,2,3,6,7,7,6,10
272,0,2,0,4,0,2,1,5,9,10
273,1,0,0,2,2,5,3,5,2,1
274,0,0,1,3,1,1,0,3,8,8
275,0,0,0,0,1,3,2,0,7,5
276,1,1,3,4,4,5,3,5,8,10
277,0,1,1,2,1,2,7,0,7,1
278,0,2,2,3,1,3,4,4,3,7
279,1,1,3,4,1,6,5,4,2,9
280,1,1,3,3,5,3,2,6,7,9
281,1,2,2,2,0,6,0,0,4,4
282,0,0,3,1,0,6,5,4,7,0
283,0,1,2,4,2,4,4,7,8,8
284,1,2,3,0,5,1,0,1,9,7
285,1,2,0,1,5,1,7,7,0,5
286,1,1,2,3,0,6,6,0,1,4
287,1,1,1,1,0,0,7,1,9,9
288,0,0,2,3,1,2,6,0,8,6
289,1,0,0,4,0,4,3,0,2,3
290,1,1,3,1,4,3,7,4,8,5
291,0,2,2,2,0,4,0,4,0,10
292,0,2,2,0,5,0,4,4,8,9
293,0,2,3,3,1,0,1,0,9,10
294,0,2,0,0,0,0,5,6,7,10
295,1,0,1,3,4,6,1,5,0,3
296,1,1,1,2,4,5,0,1,4,0
297,0,1,2,0,0,0,4,5,3,9
298,1,2,3,3,0,4,7,0,1,8
299,0,2,3,4,4,6,2,1,8,6
300,1,1,0,4,3,4,1,1,5,8
301,0,1,0,4,4,5,5,8,4,5
302,1,0,3,2,4,1,5,1,9,6
303,0,2,1,4,3,6,5,5,3,4
304,0,2,2,2,3,2,5,8,0,8
305,1,1,2,4,4,0,2,2,0,1
306,0,0,0,4,1,4,7,4,5,1
307,1,2,0,0,0,3,1,2,3,5
308,1,1,1,1,3,6,2,4,7,9
309,0,2,0,1,4,5,5,0,8,3
310,0,0,3,2,1,2,6,2,3,4
311,0,0,3,2,5,6,7,8,5,10
312,1,2,3,0,0,4,4,2,8,2
313,1,0,2,1,1,6,3,5,2,9
314,0,0,2,3,0,6,5,3,9,10
315,1,2,1,0,0,5,3,7,6,0
316,1,1,2,3,0,5,1,2,3,10
317,1,0,0,4,0,4,4,3,9,7
318,1,0,3,4,2,2,4,5,9,2
319,1,2,1,0,5,6,3,6,7,8
320,0,0,1,3,1,5,6,0,4,2
321,1,1,3,0,1,4,3,1,0,6
322,0,2,1,4,2,1,5,3,0,4
323,0,2,0,1,4,2,2,5,9,2
324,0,2,3,4,0,0,2,6,9,10
325,0,2,3,2,2,2,6,3,6,7
326,1,1,2,1,0,5,2,1,7,2
327,1,0,2,2,1,2,3,2,3,0
328,1,1,2,3,2,1,0,0,1,6
329,0,1,1,0,4,3,7,3,3,0
330,0,0,2,4,4,1,5,0,9,5
331,1,2,0,3,4,3,4,0,1,5
332,1,0,1,3,3,1,2,2,0,8
333,1,0,1,1,3,1,2,1,2,2
334,1,0,0,3,3,6,1,8,5,2
335,1,2,3,3,2,2,7,2,2,0
336,0,1,2,4,2,4,2,6,5,5
337,0,1,0,3,3,2,6,1,0,4
338,1,0,2,4,0,5,2,4,5,1
339,1,2,0,0,2,1,7,7,5,6
340,0,1,0,1,5,0,0,3,5,6
341,1,0,0,0,1,3,2,1,8,1
342,0,2,0,1,1,3,7,1,2,7
343,1,2,0,0,4,1,4,1,4,5
344,1,1,0,3,5,6,5,1,7,2
345,1,2,1,4,4,2,4,7,4,6
346,0,0,2,3,0,3,6,3,3,3
347,0,0,2,0,0,1,2,2,2,2
348,1,0,2,3,3,2,4,2,0,8
349,1,1,3,0,2,2,2,8,1,6
350,1,0,2,2,0,4,7,7,9,1
351,1,0,2,3,4,5,0,2,5,7
352,0,1,3,1,0,0,5,4,6,7
353,0,0,0,2,5,4,6,5,4,10
354,1,2,1,1,1,4,7,5,3,1
355,0,0,0,2,4,0,6,1,2,0
356,0,2,2,0,5,3,2,0,4,0
357,1,2,2,0,0,5,6,0,5,1
358,1,0,1,2,1,0,6,7,7,10
359,0,2,2,3,4,0,2,5,6,0
360,0,0,2,1,4,4,4,4,7,2
361,0,0,2,3,5,6,5,3,0,4
362,0,1,1,4,0,2,6,5,8,1
363,1,1,2,2,4,6,5,2,2,9
364,0,2,2,4,3,3,6,6,4,8
365,0,0,2,3,0,6,5,0,2,6
366,1,1,2,3,5,0,2,2,8,10
367,0,1,0,4,3,3,6,3,5,10
368,1,2,3,2,4,3,3,8,8,8
369,0,1,2,2,3,3,3,4,3,1
370,0,2,2,3,2,0,3,7,4,0
371,1,0,2,2,4,5,0,6,4,6
372,1,2,0,1,3,5,7,1,1,2
373,1,0,1,0,4,2,5,3,6,2
374,0,0,0,2,3,5,7,4,1,7
375,0,0,1,4,1,6,5,7,7,3
376,1,2,3,1,4,1,4,2,6,6
377,1,0,3,1,4,2,6,5,2,3
378,0,2,3,0,0,5,5,5,5,10
379,0,1,0,3,2,5,0,0,6,4
380,1,2,3,4,4,5,7,8,7,3
381,0,0,0,0,1,2,6,5,5,6
382,0,0,0,0,1,2,6,1,3,5
383,1,2,0,2,2,0,7,3,9,2
384,1,2,3,1,0,0,7,3,3,7
385,0,2,1,4,1,1,1,3,2,3
386,0,1,1,2,0,0,3,8,0,8
387,1,2,3,1,3,3,4,4,4,2
388,0,0,1,0,0,0,7,6,8,6
389,0,1,0,0,4,0,7,8,6,6
390,1,2,1,3,2,5,2,5,6,1
391,1,0,0,2,0,5,6,6,6,4
392,1,1,0,3,5,2,5,1,0,6
393,1,2,1,0,3,4,6,2,0,8
394,1,1,0,1,2,1,0,6,5,8
395,0,0,1,0,3,5,6,6,9,6
396,0,1,0,0,1,5,3,7,4,7
397,0,0,3,1,2,5,4,2,7,4
398,1,0,2,3,3,2,7,7,4,6
399,1,0,1,3,0,4,3,0,0,2
400,1,2,3,3,2,1,0,1,9,0
401,0,0,1,2,0,0,0,2,4,10
402,0,1,1,0,2,2,3,2,9,3
403,1,1,2,1,3,0,3,2,5,6
404,0,0,2,3,1,3,5,0,6,2
405,1,0,0,1,0,3,1,6,6,6
406,0,1,0,4,3,6,4,0,8,6
407,0,0,3,2,5,4,2,6,7,9
408,1,2,3,1,2,2,2,0,9,7
409,0,1,1,4,5,0,1,1,9,3
410,0,1,3,4,3,3,3,0,6,1
411,0,2,0,2,2,4,7,0,3,0
412,0,0,0,2,1,6,3,3,4,2
413,0,0,2,2,5,6,2,3,4,9
414,0,0,1,1,5,3,1,0,3,0
415,0,1,3,3,2,1,4,6,7,8
416,1,1,1,0,1,4,1,5,6,10
417,1,2,0,1,1,2,1,2,7,8
418,0,2,3,1,3,0,7,2,6,4
419,0,2,1,2,5,2,3,0,3,3
420,0,0,2,2,5,5,6,4,1,3
421,0,2,0,1,2,4,6,7,6,3
422,1,0,2,1,4,5,0,5,1,9
423,1,2,1,0,4,5,5,7,9,7
424,0,2,3,4,3,6,6,1,0,9
425,0,2,1,1,2,5,1,7,6,5
426,0,2,3,3,5,4,2,4,1,2
427,1,1,0,3,2,1,0,8,4,4
428,0,2,2,4,3,6,0,1,8,3
429,1,2,2,4,2,2,3,1,9,10
430,1,2,2,2,3,6,2,5,6,8
431,0,2,2,0,4,0,3,0,5,9
432,1,1,0,1,0,1,3,5,2,6
433,1,1,2,4,4,4,5,5,2,2
434,0,2,1,4,4,1,6,5,4,10
435,1,0,1,0,1,0,7,7,4,7
436,0,1,0,3,4,0,0,0,3,9
437,0,0,3,2,0,0,6,2,7,9
438,1,0,2,4,5,1,3,5,8,3
439,1,1,2,3,3,5,7,5,7,4
440,1,2,3,0,0,1,3,2,5,5
441,1,0,3,2,2,2,1,0,6,4
442,1,1,3,0,4,1,1,1,3,0
443,1,1,3,2,5,0,1,7,8,1
444,1,0,3,2,4,5,0,6,0,1
445,0,1,1,0,0,0,6,3,8,7
446,1,0,3,3,3,3,4,2,7,8
447,0,0,3,2,0,5,7,4,1,10
448,1,0,3,2,3,2,6,5,1,1
449,0,2,3,0,4,3,5,7,8,2
450,1,1,0,0,2,1,0,5,9,1
451,0,2,0,4,4,3,3,2,6,2
452,0,0,1,1,4,1,4,7,7,6
453,1,1,1,3,0,4,2,4,9,1
454,1,2,0,3,3,0,4,5,9,8
455,1,1,3,4,0,5,7,4,0,7
456,0,0,1,1,2,6,0,6,7,1
457,1,2,0,2,5,1,6,5,8,8
458,1,0,0,1,5,5,2,2,0,4
459,0,1,2,3,5,5,7,1,5,0
460,0,1,0,4,2,5,0,4,6,6
461,0,0,3,1,1,2,0,7,4,5
462,0,1,3,0,3,4,4,5,8,1
463,0,1,0,2,5,6,0,7,8,2
464,0,1,3,2,2,6,1,8,7,2
465,1,2,0,3,4,6,6,8,6,10
466,1,2,2,3,3,6,1,2,0,7
467,0,1,1,4,2,6,0,8,4,6
468,1,2,0,0,1,0,1,8,5,8
469,1,0,2,4,0,3,1,5,7,8
470,0,2,1,3,4,0,6,0,4,7
471,1,2,0,2,0,2,4,0,5,2
472,0,1,0,2,0,6,0,6,4,7
473,1,0,1,2,2,6,1,3,3,10
474,0,2,2,0,2,0,7,4,7,3
475,1,0,0,0,0,1,7,0,5,1
476,0,0,1,4,2,1,1,8,5,5
477,0,2,1,3,3,4,2,4,9,2
478,1,0,3,3,1,4,3,5,6,3
479,1,2,0,3,1,3,7,7,4,1
480,1,2,2,4,2,2,4,1,0,1
481,0,0,1,1,2,4,0,3,5,1
482,1,0,2,1,3,1,1,3,2,2
483,0,1,3,4,0,5,6,2,0,5
484,0,0,0,1,2,3,1,0,9,7
485,0,0,1,0,5,1,3,4,3,10
486,0,2,2,4,2,1,5,2,2,9
487,0,0,1,3,2,6,0,4,6,1
488,0,1,1,3,1,1,7,2,2,2
489,1,1,1,3,1,3,2,4,6,3
490,1,1,2,3,4,2,6,8,8,1
491,0,1,2,1,1,5,5,8,1,5
492,0,2,0,1,0,0,0,3,3,2
493,1,1,1,1,3,6,7,5,4,1
494,0,0,1,0,0,2,4,6,2,1
495,1,1,2,1,5,3,0,2,0,3
496,0,2,2,0,4,2,0,2,1,5
497,1,1,3,0,2,0,7,4,6,3
498,0,0,1,1,3,2,0,1,0,5
499,0,0,2,4,2,2,0,5,8,9
500,0,2,1,0,2,3,7,7,4,10
501,0,2,0,3,5,1,2,3,3,2
502,0,1,1,0,5,3,4,8,6,8
503,0,0,1,2,4,3,5,8,6,1
504,1,2,2,2,5,2,6,6,4,1
505,1,0,0,4,5,0,2,0,9,9
506,1,1,3,1,1,5,0,6,9,4
507,0,0,2,2,3,6,7,1,2,6
508,1,1,3,0,4,3,6,6,3,2
509,0,2,1,4,4,4,3,7,3,5
510,1,1,1,3,5,1,7,4,8,4
511,0,0,0,2,4,3,4,3,4,7
512,1,2,0,2,5,2,2,1,0,5
513,1,0,0,2,3,1,2,7,5,1
514,0,1,2,1,4,4,1,8,8,1
515,0,0,1,2,1,3,2,2,2,8
516,1,2,3,1,4,4,3,1,5,5
517,0,2,1,2,1,6,4,0,9,10
518,1,0,1,0,2,6,4,7,2,7
519,0,0,2,2,2,3,3,3,9,5
520,1,0,2,0,1,4,0,1,2,10
521,0,2,3,2,1,1,7,1,8,8
522,1,0,2,3,1,3,2,8,5,10
523,1,2,2,2,3,6,7,5,1,3
524,1,1,0,4,5,0,7,2,9,3
525,1,2,0,1,4,4,3,7,3,1
526,0,1,2,3,5,6,3,0,9,3
527,1,2,2,1,2,3,4,4,8,10
528,0,2,1,3,4,4,0,2,3,7
529,0,1,0,4,4,0,7,5,9,6
530,0,1,2,4,3,6,6,8,8,9
531,0,0,1,1,1,5,4,8,0,5
532,0,2,2,0,3,3,6,2,7,0
533,0,0,3,3,2,4,2,0,1,4
534,0,1,1,4,5,4,4,5,2,8
535,1,1,3,0,4,0,0,2,6,1
536,0,2,0,1,2,3,3,7,7,1
537,1,1,2,0,3,2,5,3,2,5
538,1,2,3,1,4,6,4,7,6,1
539,0,0,0,0,0,5,0,0,8,1
540,0,0,2,2,1,5,0,3,6,5
541,0,2,3,1,2,5,6,0,1,6
542,1,1,1,1,1,1,6,6,0,5
543,1,0,3,0,4,4,4,7,8,5
544,0,0,3,3,1,3,7,2,7,3
545,0,1,3,4,3,5,7,2,6,10
546,0,2,2,0,2,0,6,8,7,10
547,0,2,0,3,5,2,5,3,1,4
548,0,2,3,0,4,3,5,8,4,10
549,1,2,3,4,0,2,2,4,2,7
550,1,1,2,1,1,5,2,4,5,9
551,0,2,2,0,5,2,0,1,3,8
552,1,1,0,3,2,0,1,0,7,1
553,1,2,0,1,1,0,6,6,6,9
554,1,1,2,0,3,4,5,2,9,9
555,0,1,0,0,2,3,6,4,4,10
556,1,0,2,1,4,6,2,2,7,2
557,1,2,3,0,3,4,6,5,2,2
558,1,0,3,2,0,2,1,8,6,7
559,0,2,1,1,2,3,5,4,9,9
560,1,2,3,0,5,4,7,2,8,5
561,0,0,2,3,0,4,6,3,9,10
562,0,0,3,1,1,2,5,2,6,7
563,1,1,3,2,3,6,4,6,0,0
564,1,2,0,2,5,6,2,2,6,3
565,1,2,1,1,4,6,6,0,7,8
566,1,0,1,1,1,6,4,7,3,9
567,1,2,1,0,3,0,3,2,8,0
568,0,1,2,4,3,4,1,5,8,3
569,1,1,0,2,4,0,4,1,2,1
570,1,1,3,4,5,2,2,3,7,10
571,0,2,0,0,0,5,0,3,9,8
572,1,0,3,0,3,4,3,0,6,1
573,0,2,3,1,3,3,7,2,9,9
574,0,0,1,1,3,2,0,1,0,9
575,1,2,3,1,0,5,4,2,2,3
576,1,2,3,1,4,1,6,1,9,7
577,0,2,2,2,1,5,6,4,9,6
578,1,2,2,2,1,6,1,8,9,9
579,1,2,0,1,4,0,1,0,1,2
580,1,2,3,1,1,0,1,4,7,2
581,1,0,1,3,2,6,5,3,8,7
582,0,1,1,3,4,4,3,2,1,1
583,0,1,3,2,1,2,4,2,8,7
584,0,2,2,1,5,5,1,7,1,5
585,0,1,3,1,0,5,0,0,5,5
586,0,2,2,0,1,6,0,7,6,2
587,1,1,0,2,2,2,2,4,2,5
588,0,2,2,2,0,5,7,3,9,5
589,1,2,0,0,2,5,3,0,7,7
590,1,2,1,0,4,6,1,2,5,4
591,0,2,0,2,4,4,1,6,6,2
592,0,0,0,1,3,2,7,1,9,2
593,1,2,1,1,0,4,4,8,5,0
594,0,0,3,1,0,6,3,4,3,9
595,1,2,3,2,4,1,3,4,0,0
596,1,1,1,0,0,1,6,6,7,1
597,0,0,3,1,1,1,2,7,9,0
598,1,1,0,3,1,6,0,0,9,10
599,1,1,1,0,5,4,2,5,4,7
600,0,2,3,2,3,1,0,8,6,3
601,0,1,1,3,0,0,3,6,4,7
602,0,1,0,4,1,6,1,8,3,9
603,1,1,2,3,0,6,3,8,3,3
604,0,1,1,2,1,2,6,0,0,1
605,0,2,3,4,4,0,5,3,0,3
606,0,1,1,1,3,6,5,1,4,8
607,0,2,2,2,0,0,2,0,6,4
608,1,0,0,2,1,6,5,8,6,10
609,1,0,1,0,2,5,6,8,2,6
610,0,1,0,2,4,0,5,3,7,6
611,1,0,3,3,3,4,5,3,6,7
612,0,1,1,2,1,2,1,1,1,4
613,1,1,1,4,1,4,0,3,5,3
614,1,2,3,3,1,6,1,8,1,4
615,1,2,2,3,4,0,2,1,9,2
616,1,1,1,3,1,0,4,1,3,9
617,0,0,1,0,4,4,5,4,9,9
618,0,2,3,2,2,2,2,4,9,10
619,0,1,2,0,2,5,3,2,3,8
620,1,2,2,4,5,2,3,5,3,10
621,1,2,3,1,5,1,6,5,6,8
622,1,1,1,1,5,1,1,0,8,3
623,1,0,3,0,0,1,6,8,1,0
624,0,2,0,4,1,6,7,5,4,0
625,0,1,3,2,3,2,1,3,0,7
626,0,1,3,2,2,1,7,0,1,6
627,0,0,0,0,1,2,7,1,9,9
628,0,2,3,1,2,4,5,0,0,6
629,1,2,1,2,3,4,5,4,8,4
630,1,2,3,4,0,3,3,4,6,4
631,0,0,2,3,4,4,4,2,2,7
632,1,1,3,0,3,1,5,6,5,6
